Source,Target,Weight,Type
300005,412573,0.1620553,Undirected
300005,412582,0.8616601,Undirected
300005,412586,0.4229249,Undirected
300005,412597,0.09881423,Undirected
300005,412598,0.2411067,Undirected
300011,300018,0.9446641,Undirected
300011,300019,0.9011858,Undirected
300011,300021,0.229249,Undirected
300011,300023,0.2529644,Undirected
300011,300025,0.5810277,Undirected
300011,300027,0.09881423,Undirected
300011,300030,0.09090909,Undirected
300011,300038,0.9249012,Undirected
300011,300041,0.09090909,Undirected
300011,300043,0.9288538,Undirected
300011,300047,0.2806324,Undirected
300011,300048,0.1383399,Undirected
300011,300051,0.9090909,Undirected
300011,300052,0.256917,Undirected
300011,300055,0.07114624,Undirected
300011,300058,0.9051383,Undirected
300011,300060,0.01581028,Undirected
300011,300063,0.8537549,Undirected
300011,300064,0.1185771,Undirected
300011,300065,0.9407114,Undirected
300011,300066,0.9169961,Undirected
300011,300071,0.312253,Undirected
300011,300072,0.1264822,Undirected
300011,300073,0.9169961,Undirected
300011,300075,0.5177866,Undirected
300011,300076,0.8814229,Undirected
300011,300078,0.9051383,Undirected
300011,300080,0.7905138,Undirected
300011,300081,0.9367589,Undirected
300011,300082,0.8735178,Undirected
300011,300083,0.07905138,Undirected
300011,300084,0.8932806,Undirected
300011,300087,0.9367589,Undirected
300011,300088,0.1027668,Undirected
300011,300089,0.1422925,Undirected
300011,300093,0.9407114,Undirected
300011,300100,0.9051383,Undirected
300011,400013,0.9328063,Undirected
300011,400034,0.2134387,Undirected
300011,400040,0.1699605,Undirected
300011,400050,0.9288538,Undirected
300011,400054,0.201581,Undirected
300011,400064,0.9407114,Undirected
300011,400134,0.2727273,Undirected
300011,400194,0.2490119,Undirected
300011,400222,0.3003953,Undirected
300011,400253,0.4071146,Undirected
300011,400272,0.9249012,Undirected
300011,400284,0.1501976,Undirected
300011,400325,0.2608696,Undirected
300011,400357,0.9130435,Undirected
300011,400408,0.1541502,Undirected
300011,400412,0.8774704,Undirected
300011,400413,0.9328063,Undirected
300011,400418,0.09486166,Undirected
300011,400432,0.2687747,Undirected
300011,400546,0.1897233,Undirected
300011,400576,0.08695652,Undirected
300011,402675,0.1660079,Undirected
300011,412194,0.9328063,Undirected
300011,412200,0.9486166,Undirected
300011,412205,0.8260869,Undirected
300011,412218,0.1778656,Undirected
300011,412223,0.9288538,Undirected
300011,412242,0.9051383,Undirected
300011,412243,0.8339921,Undirected
300011,412244,0.8537549,Undirected
300011,412246,0.8853755,Undirected
300011,412247,0.9169961,Undirected
300011,412248,0.2727273,Undirected
300011,412251,0.09881423,Undirected
300011,412281,0.9051383,Undirected
300011,412320,0.2173913,Undirected
300011,412321,0.8537549,Undirected
300011,412322,0.05533597,Undirected
300011,412323,0.8972332,Undirected
300011,412324,0.8339921,Undirected
300011,412325,0.9051383,Undirected
300011,412326,0.8379447,Undirected
300011,412330,0.9130435,Undirected
300011,412378,0.9249012,Undirected
300011,412390,0.9011858,Undirected
300011,412391,0.715415,Undirected
300011,412471,0.05928854,Undirected
300011,412490,0.9367589,Undirected
300011,412491,0.1264822,Undirected
300011,412492,0.08300395,Undirected
300011,412493,0.2727273,Undirected
300011,412494,0.2371542,Undirected
300011,412495,0.06719368,Undirected
300011,412496,0.09881423,Undirected
300011,412507,0.9367589,Undirected
300011,412542,0.9209486,Undirected
300011,412545,0.8695652,Undirected
300011,412554,0.8339921,Undirected
300011,412556,0.1699605,Undirected
300011,412573,0.0513834,Undirected
300011,412582,0.8814229,Undirected
300011,412586,0.4743083,Undirected
300011,412597,0.09881423,Undirected
300011,412598,0.2332016,Undirected
300018,300019,0.9486166,Undirected
300018,300021,0.2608696,Undirected
300018,300023,0.284585,Undirected
300018,300025,0.6284585,Undirected
300018,300027,0.1225296,Undirected
300018,300030,0.1106719,Undirected
300018,300038,0.9762846,Undirected
300018,300041,0.1106719,Undirected
300018,300043,0.9762846,Undirected
300018,300047,0.3201581,Undirected
300018,300048,0.1581028,Undirected
300018,300051,0.9486166,Undirected
300018,300052,0.2924901,Undirected
300018,300055,0.08300395,Undirected
300018,300058,0.9525692,Undirected
300018,300060,0.01581028,Undirected
300018,300063,0.8853755,Undirected
300018,300064,0.1185771,Undirected
300018,300065,0.9683794,Undirected
300018,300066,0.9565217,Undirected
300018,300071,0.3438735,Undirected
300018,300072,0.1501976,Undirected
300018,300073,0.972332,Undirected
300018,300075,0.5533597,Undirected
300018,300076,0.9367589,Undirected
300018,300078,0.9565217,Undirected
300018,300080,0.8300395,Undirected
300018,300081,0.9802371,Undirected
300018,300082,0.9130435,Undirected
300018,300083,0.09881423,Undirected
300018,300084,0.9367589,Undirected
300018,300087,0.9920949,Undirected
300018,300088,0.1225296,Undirected
300018,300089,0.1581028,Undirected
300018,300093,0.9802371,Undirected
300018,300100,0.9525692,Undirected
300018,400013,0.9802371,Undirected
300018,400034,0.2450593,Undirected
300018,400040,0.1897233,Undirected
300018,400050,0.9683794,Undirected
300018,400054,0.2332016,Undirected
300018,400064,0.9881423,Undirected
300018,400134,0.2964427,Undirected
300018,400194,0.284585,Undirected
300018,400222,0.3320158,Undirected
300018,400253,0.4150198,Undirected
300018,400272,0.972332,Undirected
300018,400284,0.173913,Undirected
300018,400325,0.2885376,Undirected
300018,400357,0.9407114,Undirected
300018,400408,0.1778656,Undirected
300018,400412,0.9288538,Undirected
300018,400413,0.9644269,Undirected
300018,400418,0.1027668,Undirected
300018,400432,0.2964427,Undirected
300018,400546,0.2094862,Undirected
300018,400576,0.1067194,Undirected
300018,402675,0.1976285,Undirected
300018,412194,0.972332,Undirected
300018,412200,0.9802371,Undirected
300018,412205,0.8656126,Undirected
300018,412218,0.1936759,Undirected
300018,412223,0.972332,Undirected
300018,412242,0.9565217,Undirected
300018,412243,0.8656126,Undirected
300018,412244,0.8893281,Undirected
300018,412246,0.9407114,Undirected
300018,412247,0.9644269,Undirected
300018,412248,0.3043478,Undirected
300018,412251,0.1146245,Undirected
300018,412281,0.9525692,Undirected
300018,412320,0.2450593,Undirected
300018,412321,0.9011858,Undirected
300018,412322,0.06719368,Undirected
300018,412323,0.9367589,Undirected
300018,412324,0.8735178,Undirected
300018,412325,0.9407114,Undirected
